variable_name,description,data_type,min,max,units,enumerations,comment
participant_id,The Global ID for the Participant,string,,,,,
birthsex,Sex assigned at birth (or pre-natal observed sex),enumeration,,,,"female=Female;male=Male;asku=Information was sought but not found (e.g., patient was asked but didn't know);oth=**Description:**The actual value is not a member of the set of permitted data values in the constrained value domain of a variable. (e.g., concept not provided by required code system).
Usage Notes: This flavor and its specializations are most commonly used with the CD datatype and its flavors. However, it may apply to *any* datatype where the constraints of the type are tighter than can be conveyed. For example, a PQ that is for a true measured amount whose units are not supported in UCUM, a need to convey a REAL when the type has been constrained to INT, etc.
With coded datatypes, this null flavor may only be used if the vocabulary binding has a coding strength of CNE. By definition, all local codes and original text are part of the value set if the coding strength is CWE.;unk=*Description:**A proper value is applicable, but not known.
Usage Notes: This means the actual value is not known. If the only thing that is unknown is how to properly express the value in the necessary constraints (value set, datatype, etc.), then the OTH or UNC flavor should be used. No properties should be included for a datatype with this property unless:
Those properties themselves directly translate to a semantic of 'unknown'. (E.g. a local code sent as a translation that conveys 'unknown') Those properties further qualify the nature of what is unknown. (E.g. specifying a use code of 'H' and a URL prefix of 'tel:' to convey that it is the home phone number that is unknown.)",
ethnicity,Reported ethnicity as defined by the 1997 OMB directives.,enumeration,,,,hispanic_or_latino=Hispanic or Latino;not_hispanic_or_latino=Not Hispanic or Latino;unknown=unknown;asked_but_unknown=asked but unknown,
population,"opulation, Race, and/or Ethnicity information.",enumeration,,,,,Code describing the population (CDC). This should be one of the codes from the [CDC Race codes](https://hl7.org/fhir/us/core/STU6.1/ValueSet-detailed-race.html).
dob,Date of Birth of the participant. Details of privacy method should be included in DOBMethod,string,,,,,
dob_method,Specifies method used to alter DOB for research sharing. Details should be available in the study protocols.,enumeration,,,,exact=Exact;year_only=Year Only;shifted=Shifted;decade_only=Decade Only;other=Other,
age_at_last_vital,Age or date of last vital status,string,,,,,
is_deceased,"Is the participant known to be Deceased, T, or Alive, F",string,,,,,
deceased_rel,Implementers can provide relativeDateTime if information is available.,string,,,,,Foreign Key: RelativeDateTime.id
patient_knowledge_source,The source of the knowledge represented by this Patient resource.,enumeration,,,,"traditional=The knowledge comes from traditional sources like a form filled out by a patient or information copied from an external traditional source like government records.;inferred=The knowledge is inferred from indirect evidence. For example, the existence of one patient's mother can be inferred from the existence of the patient.",
family_global_id,The family the participant is a part of,string,,,,,Foreign Key: Family.family_global_id
access_policy_id,Access Policy Global ID,string,,,,,Foreign Key: AccessPolicy.access_policy_id
