variable_name,description,data_type,min,max,units,enumerations,comment
file_id,Unique identifier for this File.,string,,,,,
filename,The name of the file.,string,,,,,
format,The format of the file.,enumeration,,,,,Data formats from the EDAM ontology.
data_category,"General category of data in this Record (e.g. Clinical, Genomics, etc)",enumeration,,,,unharmonized_demographic_clinical_data=Unharmonized Demographic/Clinical Data;harmonized_demographic_clinical_data=Harmonized Demographic/Clinical Data;genomics=Genomics;transcriptomics=Transcriptomics;epigenomics=Epigenomics;proteomics=Proteomics;metabolomics=Metabolomics;cognitive_behavioral=Cognitive/Behavioral;immune_profiling=Immune Profiling;imaging=Imaging;microbiome=Microbiome;fitness=Fitness;physical_activity=Physical Activity;other=Other;sleep_study=Sleep Study,
data_type,The type of data within this file.,enumeration,,,,,Data types from the EDAM ontology.
size,"Size of the file, in Bytes.",integer,,,UCUM:By,,
staging_url,URL for internal access to the data. May be temporary.,string,,,,,
release_url,URL for controlled or open access to the data.,string,,,,,
drs_uri,DRS location to access the data.,string,,,,,
access_policy_id,Global identifier for the access policy that applies to this row of data.,string,,,,,Foreign Key: AccessPolicy.access_policy_id
study_id,INCLUDE Global ID for the study,string,,,,,Foreign Key: Study.study_id
hash_id,File hash information,integer,,,,,Foreign Key: FileHash.id
