variable_name,description,data_type,min,max,units,enumerations,comment
parent_study,"The parent study for this study, if it is a nested study.",string,,,,,Foreign Key: Study.study_id
study_title,Full Study Title,string,,,,,
study_code,Unique identifier for the study (generally a short acronym),string,,,,,
study_short_name,Short name for the study,string,,,,,
study_description,Brief description of the study (2-4 sentences),string,,,,,
website,Website with more information about this entity.,string,,,,,
acknowledgments,Funding statement and acknowledgments for this study,string,,,,,
citation_statement,"Statement that secondary data users should use to acknowledge use of this study or dataset. E.g., ""The results analyzed and <published or shown> here are based in whole or in part upon data generated by the INCLUDE (INvestigation of Co-occurring conditions across the Lifespan to Understand Down syndromE) Project <insert accession number(s) and/or study DOI(s)>, and were accessed from the INCLUDE Data Hub and <insert other database(s)>.""",string,,,,,
do_id,Digital Object Identifier (DOI) for this Record.,string,,,,,Foreign Key: DOI.do_id
access_policy_id,Global identifier for the access policy that applies to this row of data.,string,,,,,Foreign Key: AccessPolicy.access_policy_id
study_id,INCLUDE Global ID for the study,string,,,,,
